Rank,Name,Ratings,Price
1,RAG28 Wooden Wall Decor Set of 11 (SPW1) Multicolour,3.9,5099
2,"ArtX Paper Motivational Wall Frames, Inspirational Quotes Wall Frames For Home Office Study Room Decor, Multicolor Posters...",4.4,"50,399"
3,Mahogany Life Vintage Glass Hanging Photo Frame For Wall Decor (5X7 inch) | Transparent Glass and Brass Metal Hanging Pres...,4.2,5001
4,"Indianara Religious Painting -Synthetic Wood, 27X30.5X1cm, Multicolour (GB5)",4.5,5099
5,LeXton 20 Piece Photo Clips String Light Battery Powered (Battery Not Included) for Home Decoration (Warm White),4,5099
6,Rangoli Large Modern Art Wall Sticker Mullticolor Vinyl Sticker 40cm or 50 cm Pack of 1,3.9,5099
7,"Kridaykraft Metal Kuber Deepam Oil lamp for or Bringing Good Luck, Prosperity and Wealth,",4.5,5000
8,"Bubble Candle - Cube Soy WaX Candles, Home Decor Candle, Scented Candle Set 2 Pieces, Home Use and Gifting",3.7,5099
9,Soul & Scents 120 ml Lavender Reed Diffuser Set | Free 6 Fiber Reed Sticks |ToXin Free & Stress Relief | Fine-Living Natur...,3.9,5099
10,"Ajanta Orpat Time Piece Beep Alarm Clock (Small_140X114X74 Mm, White,Plastic)",3.9,5099
11,"Homenique Artificial Leaf Money Plant Greenery Fake Hanging Vine Plants Leaf Garland Hanging for Wedding Home Decoration, ...",4.3,"50,350"
12,"SAF Set of 3 Buddha UV TeXtured Home Decorative Gift Item Painting , 18 Inch X 12 Inch - SANFJM31046, Figures, Religious",4,5099
13,"Mangaldeep Puja Agarbatti, Sandal, 60 Sticks (Pack of 2)",4.2,500
14,Krisah 1 pcs Lab Tested ISI Seal Original Sandalwood Scented Processed Mysore Chandan Sticks 30-40 Gram for Puja,4.1,"50,345"
15,"HIVAGI Aromatherapy Essential Oil Diffuser with Flame Light, 180mL Quiet Mist Humidifiers for Essential Oils Home Aroma A...",3.7,"50,000"
16,"Amazon Brand - Solimo Collage Set of 11 Black Photo Frames ( 4 X 6 Inch - 2 & 5 X 5 Inch - 6, 5 X 7 inch - 2 & 8 X 10 inch...",4.2,5070
